id,Texture_sol,Couleur_sol,Type_irrigation,Hauteur_Eau,Niveau_Engrais,Temperature_Actuelle,Densite_Tilapia_Are
942,Limoneux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),chaud,43
943,Argileux (Madity),Brun-Grisatre,Pluvial,10,Fort (Zezika + NPK),tres froid,31
944,Limoneux,Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),froid,27
945,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),11,Moyen (Zezika Omby),tres froid,27
946,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),16,Nul,humide,35
947,Limoneux,Brun-Grisatre,Irrigue (Continu),5,Nul,chaud,18
948,Argileux (Madity),Orange / Rouge,Irrigue (Continu),18,Fort (Zezika + NPK),froid,45
949,Sableux,Noiratre (Rich),Irrigue (Continu),6,Nul,humide,11
950,Limoneux,Orange / Rouge,Irrigue (Continu),12,Moyen (Zezika Omby),chaud,46
951,Sableux,Orange / Rouge,Irrigue (Continu),18,Moyen (Zezika Omby),humide,39
952,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),10,Fort (Zezika + NPK),tres froid,32
953,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),16,Fort (Zezika + NPK),tres froid,34
954,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Fort (Zezika + NPK),très chaud,42
955,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),20,Moyen (Zezika Omby),très chaud,44
956,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Fort (Zezika + NPK),très chaud,50
957,Argileux (Madity),Brun-Grisatre,Pluvial,15,Nul,très chaud,33
958,Limoneux,Brun-Grisatre,Pluvial,6,Moyen (Zezika Omby),froid,18
959,Limoneux,Orange / Rouge,Pluvial,20,Fort (Zezika + NPK),humide,27
960,Argileux (Madity),Orange / Rouge,Irrigue (Continu),19,Fort (Zezika + NPK),chaud,50
961,Sableux,Brun-Grisatre,Pluvial,7,Fort (Zezika + NPK),chaud,10
962,Sableux,Orange / Rouge,Irrigue (Continu),15,Nul,humide,18
963,Argileux (Madity),Brun-Grisatre,Pluvial,16,Nul,humide,27
964,Limoneux,Noiratre (Rich),Pluvial,17,Moyen (Zezika Omby),tres froid,21
965,Limoneux,Orange / Rouge,Pluvial,14,Moyen (Zezika Omby),chaud,36
966,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Nul,tres froid,37
967,Limoneux,Orange / Rouge,Pluvial,11,Nul,tres froid,10
968,Limoneux,Noiratre (Rich),Pluvial,14,Nul,très chaud,27
969,Sableux,Orange / Rouge,Irrigue (Continu),17,Fort (Zezika + NPK),chaud,49
970,Argileux (Madity),Noiratre (Rich),Pluvial,15,Fort (Zezika + NPK),froid,31
971,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),17,Nul,froid,25
972,Sableux,Orange / Rouge,Irrigue (Continu),5,Fort (Zezika + NPK),humide,19
973,Argileux (Madity),Orange / Rouge,Pluvial,12,Nul,humide,15
974,Argileux (Madity),Orange / Rouge,Irrigue (Continu),17,Moyen (Zezika Omby),très chaud,35
975,Limoneux,Noiratre (Rich),Irrigue (Continu),18,Nul,tres froid,23
976,Sableux,Brun-Grisatre,Irrigue (Continu),12,Fort (Zezika + NPK),humide,28
977,Sableux,Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),tres froid,29
978,Sableux,Noiratre (Rich),Irrigue (Continu),20,Fort (Zezika + NPK),chaud,40
979,Limoneux,Orange / Rouge,Irrigue (Continu),17,Nul,chaud,26
980,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Fort (Zezika + NPK),froid,34
981,Limoneux,Noiratre (Rich),Pluvial,9,Nul,très chaud,27
982,Limoneux,Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),tres froid,10
983,Argileux (Madity),Noiratre (Rich),Pluvial,9,Fort (Zezika + NPK),très chaud,37
984,Argileux (Madity),Orange / Rouge,Irrigue (Continu),12,Nul,très chaud,21
985,Sableux,Brun-Grisatre,Irrigue (Continu),15,Fort (Zezika + NPK),froid,28
986,Sableux,Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),très chaud,22
987,Argileux (Madity),Orange / Rouge,Irrigue (Continu),15,Nul,très chaud,11
988,Limoneux,Brun-Grisatre,Pluvial,12,Fort (Zezika + NPK),humide,27
989,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),14,Nul,chaud,12
990,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),11,Fort (Zezika + NPK),très chaud,41
991,Limoneux,Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),tres froid,12
992,Sableux,Orange / Rouge,Pluvial,12,Nul,humide,10
993,Limoneux,Orange / Rouge,Pluvial,5,Nul,très chaud,10
994,Argileux (Madity),Orange / Rouge,Pluvial,16,Fort (Zezika + NPK),froid,30
995,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),13,Moyen (Zezika Omby),tres froid,29
996,Limoneux,Orange / Rouge,Irrigue (Continu),7,Fort (Zezika + NPK),chaud,39
997,Limoneux,Brun-Grisatre,Irrigue (Continu),12,Nul,chaud,34
998,Sableux,Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),froid,29
999,Limoneux,Brun-Grisatre,Irrigue (Continu),5,Nul,tres froid,10
1000,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),chaud,50
1001,Limoneux,Brun-Grisatre,Irrigue (Continu),8,Nul,très chaud,20
1002,Sableux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),tres froid,10
1003,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),10,Fort (Zezika + NPK),froid,34
1004,Limoneux,Noiratre (Rich),Pluvial,17,Moyen (Zezika Omby),chaud,35
1005,Limoneux,Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),très chaud,12
1006,Argileux (Madity),Orange / Rouge,Irrigue (Continu),15,Moyen (Zezika Omby),chaud,50
1007,Limoneux,Orange / Rouge,Pluvial,18,Fort (Zezika + NPK),froid,27
1008,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),20,Fort (Zezika + NPK),tres froid,50
1009,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Nul,tres froid,32
1010,Limoneux,Noiratre (Rich),Pluvial,6,Nul,très chaud,10
1011,Limoneux,Noiratre (Rich),Irrigue (Continu),7,Nul,très chaud,27
1012,Limoneux,Brun-Grisatre,Pluvial,18,Nul,chaud,27
1013,Sableux,Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),chaud,43
1014,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),16,Moyen (Zezika Omby),tres froid,32
1015,Limoneux,Orange / Rouge,Pluvial,16,Nul,humide,14
1016,Sableux,Brun-Grisatre,Irrigue (Continu),10,Nul,humide,19
1017,Limoneux,Brun-Grisatre,Irrigue (Continu),5,Fort (Zezika + NPK),chaud,43
1018,Sableux,Orange / Rouge,Irrigue (Continu),6,Moyen (Zezika Omby),très chaud,10
1019,Limoneux,Orange / Rouge,Irrigue (Continu),11,Nul,tres froid,11
1020,Limoneux,Brun-Grisatre,Irrigue (Continu),8,Fort (Zezika + NPK),froid,25
1021,Limoneux,Orange / Rouge,Pluvial,7,Nul,tres froid,10
1022,Sableux,Brun-Grisatre,Pluvial,15,Nul,tres froid,10
1023,Sableux,Orange / Rouge,Irrigue (Continu),16,Moyen (Zezika Omby),chaud,47
1024,Argileux (Madity),Orange / Rouge,Irrigue (Continu),16,Nul,tres froid,12
1025,Sableux,Orange / Rouge,Pluvial,16,Fort (Zezika + NPK),chaud,38
1026,Sableux,Noiratre (Rich),Irrigue (Continu),6,Moyen (Zezika Omby),froid,21
1027,Limoneux,Noiratre (Rich),Pluvial,14,Nul,très chaud,14
1028,Limoneux,Orange / Rouge,Pluvial,10,Moyen (Zezika Omby),froid,20
1029,Sableux,Brun-Grisatre,Pluvial,15,Moyen (Zezika Omby),tres froid,10
1030,Argileux (Madity),Noiratre (Rich),Pluvial,20,Fort (Zezika + NPK),tres froid,28
1031,Sableux,Orange / Rouge,Pluvial,10,Fort (Zezika + NPK),chaud,41
1032,Limoneux,Brun-Grisatre,Irrigue (Continu),18,Fort (Zezika + NPK),très chaud,49
1033,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),froid,33
1034,Sableux,Orange / Rouge,Irrigue (Continu),17,Fort (Zezika + NPK),humide,35
1035,Sableux,Orange / Rouge,Pluvial,13,Nul,froid,10
1036,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),18,Moyen (Zezika Omby),froid,43
1037,Limoneux,Orange / Rouge,Irrigue (Continu),12,Nul,froid,19
1038,Limoneux,Noiratre (Rich),Pluvial,14,Nul,très chaud,22
1039,Sableux,Orange / Rouge,Pluvial,14,Fort (Zezika + NPK),humide,21
1040,Limoneux,Orange / Rouge,Pluvial,16,Moyen (Zezika Omby),très chaud,34
1041,Argileux (Madity),Orange / Rouge,Irrigue (Continu),11,Moyen (Zezika Omby),chaud,50
1042,Sableux,Noiratre (Rich),Irrigue (Continu),9,Nul,chaud,40
1043,Limoneux,Orange / Rouge,Pluvial,15,Nul,chaud,37
1044,Argileux (Madity),Noiratre (Rich),Pluvial,6,Moyen (Zezika Omby),très chaud,10
1045,Limoneux,Noiratre (Rich),Pluvial,18,Nul,tres froid,22
1046,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Fort (Zezika + NPK),très chaud,39
1047,Sableux,Noiratre (Rich),Pluvial,14,Moyen (Zezika Omby),très chaud,26
1048,Sableux,Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),humide,37
1049,Limoneux,Brun-Grisatre,Pluvial,19,Fort (Zezika + NPK),très chaud,22
1050,Argileux (Madity),Noiratre (Rich),Pluvial,10,Fort (Zezika + NPK),très chaud,32
1051,Argileux (Madity),Noiratre (Rich),Pluvial,8,Fort (Zezika + NPK),humide,45
1052,Limoneux,Noiratre (Rich),Irrigue (Continu),13,Nul,humide,33
1053,Argileux (Madity),Noiratre (Rich),Pluvial,8,Nul,chaud,35
1054,Sableux,Brun-Grisatre,Irrigue (Continu),12,Moyen (Zezika Omby),chaud,40
1055,Sableux,Noiratre (Rich),Pluvial,9,Moyen (Zezika Omby),humide,20
1056,Limoneux,Noiratre (Rich),Pluvial,17,Nul,tres froid,20
1057,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),13,Moyen (Zezika Omby),chaud,50
1058,Limoneux,Brun-Grisatre,Irrigue (Continu),19,Moyen (Zezika Omby),humide,43
1059,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),12,Nul,tres froid,20
1060,Argileux (Madity),Brun-Grisatre,Pluvial,5,Nul,très chaud,10
1061,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),tres froid,38
1062,Sableux,Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),tres froid,15
1063,Limoneux,Brun-Grisatre,Pluvial,20,Nul,chaud,36
1064,Limoneux,Orange / Rouge,Irrigue (Continu),18,Fort (Zezika + NPK),chaud,50
1065,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),11,Fort (Zezika + NPK),froid,48
1066,Limoneux,Noiratre (Rich),Irrigue (Continu),15,Fort (Zezika + NPK),humide,41
1067,Limoneux,Orange / Rouge,Pluvial,19,Fort (Zezika + NPK),chaud,47
1068,Limoneux,Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),chaud,42
1069,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),19,Fort (Zezika + NPK),humide,41
1070,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Nul,humide,41
1071,Limoneux,Orange / Rouge,Irrigue (Continu),14,Moyen (Zezika Omby),chaud,50
1072,Limoneux,Noiratre (Rich),Pluvial,20,Nul,froid,14
1073,Argileux (Madity),Brun-Grisatre,Pluvial,18,Fort (Zezika + NPK),chaud,50
1074,Sableux,Brun-Grisatre,Pluvial,12,Nul,chaud,18
1075,Sableux,Brun-Grisatre,Pluvial,12,Fort (Zezika + NPK),très chaud,21
1076,Sableux,Noiratre (Rich),Pluvial,9,Moyen (Zezika Omby),tres froid,48
1077,Limoneux,Orange / Rouge,Irrigue (Continu),11,Nul,humide,24
1078,Limoneux,Brun-Grisatre,Pluvial,7,Nul,très chaud,10
1079,Sableux,Orange / Rouge,Irrigue (Continu),6,Fort (Zezika + NPK),humide,24
1080,Sableux,Orange / Rouge,Irrigue (Continu),17,Fort (Zezika + NPK),tres froid,25
1081,Limoneux,Noiratre (Rich),Pluvial,12,Nul,tres froid,10
1082,Sableux,Brun-Grisatre,Pluvial,16,Fort (Zezika + NPK),tres froid,35
1083,Sableux,Brun-Grisatre,Pluvial,6,Nul,froid,10
1084,Argileux (Madity),Orange / Rouge,Irrigue (Continu),15,Fort (Zezika + NPK),froid,41
1085,Sableux,Orange / Rouge,Pluvial,12,Nul,chaud,16
1086,Argileux (Madity),Orange / Rouge,Pluvial,20,Fort (Zezika + NPK),humide,34
1087,Sableux,Orange / Rouge,Irrigue (Continu),8,Fort (Zezika + NPK),humide,27
1088,Sableux,Noiratre (Rich),Irrigue (Continu),15,Nul,humide,22
1089,Sableux,Brun-Grisatre,Pluvial,5,Nul,chaud,10
1090,Limoneux,Noiratre (Rich),Irrigue (Continu),5,Moyen (Zezika Omby),chaud,41
1091,Sableux,Brun-Grisatre,Pluvial,15,Fort (Zezika + NPK),humide,26
1092,Limoneux,Orange / Rouge,Irrigue (Continu),8,Fort (Zezika + NPK),humide,26
1093,Limoneux,Orange / Rouge,Pluvial,6,Moyen (Zezika Omby),froid,14
1094,Limoneux,Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),froid,43
1095,Limoneux,Noiratre (Rich),Irrigue (Continu),13,Fort (Zezika + NPK),froid,44
1096,Sableux,Orange / Rouge,Pluvial,15,Moyen (Zezika Omby),chaud,39
1097,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),16,Moyen (Zezika Omby),humide,50
1098,Limoneux,Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),très chaud,31
1099,Argileux (Madity),Orange / Rouge,Irrigue (Continu),9,Fort (Zezika + NPK),humide,46
1100,Sableux,Noiratre (Rich),Irrigue (Continu),18,Nul,chaud,40
1101,Sableux,Noiratre (Rich),Irrigue (Continu),6,Nul,très chaud,16
1102,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Moyen (Zezika Omby),tres froid,29
1103,Argileux (Madity),Orange / Rouge,Pluvial,6,Fort (Zezika + NPK),humide,31
1104,Sableux,Orange / Rouge,Pluvial,9,Fort (Zezika + NPK),humide,19
1105,Limoneux,Noiratre (Rich),Irrigue (Continu),9,Fort (Zezika + NPK),très chaud,39
1106,Sableux,Noiratre (Rich),Pluvial,11,Fort (Zezika + NPK),tres froid,18
1107,Argileux (Madity),Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),tres froid,28
1108,Limoneux,Brun-Grisatre,Irrigue (Continu),8,Fort (Zezika + NPK),tres froid,27
1109,Limoneux,Noiratre (Rich),Irrigue (Continu),5,Moyen (Zezika Omby),chaud,41
1110,Limoneux,Noiratre (Rich),Irrigue (Continu),7,Fort (Zezika + NPK),très chaud,33
1111,Sableux,Noiratre (Rich),Irrigue (Continu),11,Moyen (Zezika Omby),chaud,40
1112,Sableux,Brun-Grisatre,Irrigue (Continu),17,Nul,chaud,34
1113,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),19,Moyen (Zezika Omby),humide,49
1114,Limoneux,Brun-Grisatre,Irrigue (Continu),13,Moyen (Zezika Omby),froid,36
1115,Limoneux,Brun-Grisatre,Pluvial,10,Nul,humide,16
1116,Sableux,Brun-Grisatre,Pluvial,8,Moyen (Zezika Omby),tres froid,11
1117,Limoneux,Brun-Grisatre,Pluvial,6,Nul,tres froid,10
1118,Sableux,Orange / Rouge,Pluvial,9,Nul,chaud,15
1119,Limoneux,Orange / Rouge,Pluvial,20,Nul,très chaud,13
1120,Sableux,Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),très chaud,32
1121,Limoneux,Orange / Rouge,Irrigue (Continu),6,Moyen (Zezika Omby),chaud,36
1122,Sableux,Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),chaud,42
1123,Sableux,Noiratre (Rich),Irrigue (Continu),19,Nul,très chaud,28
1124,Limoneux,Orange / Rouge,Irrigue (Continu),18,Nul,tres froid,10
1125,Argileux (Madity),Brun-Grisatre,Pluvial,14,Moyen (Zezika Omby),tres froid,21
1126,Sableux,Brun-Grisatre,Pluvial,8,Moyen (Zezika Omby),chaud,20
1127,Limoneux,Brun-Grisatre,Pluvial,20,Moyen (Zezika Omby),très chaud,29
1128,Limoneux,Noiratre (Rich),Irrigue (Continu),16,Fort (Zezika + NPK),tres froid,40
1129,Sableux,Brun-Grisatre,Irrigue (Continu),18,Nul,humide,37
1130,Argileux (Madity),Brun-Grisatre,Pluvial,13,Fort (Zezika + NPK),froid,33
1131,Limoneux,Noiratre (Rich),Pluvial,12,Moyen (Zezika Omby),froid,17
1132,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Fort (Zezika + NPK),humide,47
1133,Limoneux,Orange / Rouge,Irrigue (Continu),10,Fort (Zezika + NPK),froid,33
1134,Sableux,Brun-Grisatre,Irrigue (Continu),17,Nul,chaud,28
1135,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),13,Moyen (Zezika Omby),chaud,50
1136,Limoneux,Brun-Grisatre,Pluvial,11,Fort (Zezika + NPK),très chaud,21
1137,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Fort (Zezika + NPK),humide,48
1138,Sableux,Brun-Grisatre,Pluvial,11,Moyen (Zezika Omby),humide,10
1139,Sableux,Orange / Rouge,Pluvial,5,Moyen (Zezika Omby),chaud,10
1140,Limoneux,Orange / Rouge,Pluvial,20,Nul,chaud,25
1141,Argileux (Madity),Brun-Grisatre,Pluvial,10,Fort (Zezika + NPK),tres froid,50
1142,Sableux,Orange / Rouge,Irrigue (Continu),5,Nul,chaud,11
1143,Sableux,Brun-Grisatre,Irrigue (Continu),16,Moyen (Zezika Omby),chaud,39
1144,Sableux,Orange / Rouge,Irrigue (Continu),19,Moyen (Zezika Omby),chaud,37
1145,Sableux,Brun-Grisatre,Pluvial,9,Nul,chaud,14
1146,Limoneux,Orange / Rouge,Irrigue (Continu),19,Moyen (Zezika Omby),très chaud,42
1147,Limoneux,Noiratre (Rich),Irrigue (Continu),12,Nul,tres froid,11
1148,Sableux,Brun-Grisatre,Pluvial,7,Nul,tres froid,10
1149,Argileux (Madity),Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),chaud,39
1150,Limoneux,Orange / Rouge,Irrigue (Continu),16,Fort (Zezika + NPK),humide,41
1151,Limoneux,Orange / Rouge,Irrigue (Continu),16,Nul,très chaud,14
1152,Argileux (Madity),Brun-Grisatre,Pluvial,11,Fort (Zezika + NPK),tres froid,18
1153,Limoneux,Brun-Grisatre,Irrigue (Continu),10,Fort (Zezika + NPK),tres froid,29
1154,Argileux (Madity),Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),froid,41
1155,Limoneux,Orange / Rouge,Irrigue (Continu),15,Fort (Zezika + NPK),tres froid,33
1156,Limoneux,Orange / Rouge,Pluvial,14,Moyen (Zezika Omby),chaud,38
1157,Argileux (Madity),Brun-Grisatre,Pluvial,9,Nul,humide,23
1158,Argileux (Madity),Noiratre (Rich),Pluvial,10,Nul,froid,23
1159,Limoneux,Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),très chaud,28
1160,Argileux (Madity),Brun-Grisatre,Pluvial,12,Fort (Zezika + NPK),humide,36
1161,Argileux (Madity),Noiratre (Rich),Pluvial,10,Moyen (Zezika Omby),très chaud,30
1162,Sableux,Brun-Grisatre,Irrigue (Continu),6,Nul,très chaud,10
1163,Sableux,Orange / Rouge,Pluvial,7,Nul,tres froid,10
1164,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),froid,33
1165,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),11,Nul,chaud,28
1166,Limoneux,Brun-Grisatre,Irrigue (Continu),6,Moyen (Zezika Omby),tres froid,14
1167,Limoneux,Brun-Grisatre,Irrigue (Continu),7,Nul,très chaud,14
1168,Limoneux,Noiratre (Rich),Pluvial,5,Nul,chaud,29
1169,Limoneux,Noiratre (Rich),Irrigue (Continu),17,Nul,humide,39
1170,Limoneux,Brun-Grisatre,Pluvial,6,Moyen (Zezika Omby),humide,22
1171,Limoneux,Noiratre (Rich),Irrigue (Continu),20,Nul,humide,41
1172,Sableux,Brun-Grisatre,Pluvial,13,Moyen (Zezika Omby),très chaud,24
1173,Limoneux,Orange / Rouge,Irrigue (Continu),15,Moyen (Zezika Omby),humide,43
1174,Sableux,Orange / Rouge,Pluvial,13,Nul,très chaud,10
1175,Limoneux,Noiratre (Rich),Irrigue (Continu),5,Moyen (Zezika Omby),froid,25
1176,Sableux,Noiratre (Rich),Irrigue (Continu),14,Nul,tres froid,28
1177,Argileux (Madity),Brun-Grisatre,Pluvial,12,Moyen (Zezika Omby),chaud,26
1178,Limoneux,Brun-Grisatre,Pluvial,7,Moyen (Zezika Omby),humide,19
1179,Limoneux,Orange / Rouge,Irrigue (Continu),7,Moyen (Zezika Omby),tres froid,10
1180,Sableux,Brun-Grisatre,Irrigue (Continu),14,Nul,chaud,33
1181,Sableux,Noiratre (Rich),Irrigue (Continu),5,Nul,humide,20
1182,Argileux (Madity),Orange / Rouge,Pluvial,15,Moyen (Zezika Omby),chaud,34
1183,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),17,Nul,chaud,45
1184,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Nul,très chaud,31
1185,Argileux (Madity),Orange / Rouge,Pluvial,18,Moyen (Zezika Omby),froid,29
1186,Sableux,Orange / Rouge,Pluvial,15,Moyen (Zezika Omby),chaud,32
1187,Sableux,Brun-Grisatre,Irrigue (Continu),5,Moyen (Zezika Omby),tres froid,10
1188,Limoneux,Brun-Grisatre,Pluvial,13,Fort (Zezika + NPK),tres froid,17
1189,Sableux,Orange / Rouge,Irrigue (Continu),12,Moyen (Zezika Omby),tres froid,14
1190,Limoneux,Noiratre (Rich),Pluvial,19,Fort (Zezika + NPK),tres froid,28
1191,Sableux,Noiratre (Rich),Pluvial,12,Nul,très chaud,15
1192,Argileux (Madity),Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),chaud,50
1193,Limoneux,Brun-Grisatre,Pluvial,5,Nul,humide,10
1194,Sableux,Noiratre (Rich),Pluvial,11,Nul,chaud,12
1195,Limoneux,Orange / Rouge,Pluvial,20,Moyen (Zezika Omby),chaud,38
1196,Argileux (Madity),Orange / Rouge,Pluvial,5,Fort (Zezika + NPK),chaud,28
1197,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),11,Moyen (Zezika Omby),très chaud,33
1198,Argileux (Madity),Brun-Grisatre,Pluvial,17,Fort (Zezika + NPK),humide,40
1199,Limoneux,Orange / Rouge,Irrigue (Continu),8,Moyen (Zezika Omby),froid,34
1200,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),18,Nul,humide,42
1201,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),9,Fort (Zezika + NPK),très chaud,37
1202,Limoneux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),humide,26
1203,Limoneux,Brun-Grisatre,Pluvial,10,Moyen (Zezika Omby),froid,26
1204,Sableux,Noiratre (Rich),Pluvial,9,Fort (Zezika + NPK),chaud,38
1205,Sableux,Brun-Grisatre,Irrigue (Continu),7,Fort (Zezika + NPK),chaud,38
1206,Limoneux,Brun-Grisatre,Irrigue (Continu),5,Moyen (Zezika Omby),chaud,23
1207,Sableux,Orange / Rouge,Pluvial,9,Moyen (Zezika Omby),humide,20
1208,Argileux (Madity),Noiratre (Rich),Pluvial,19,Fort (Zezika + NPK),froid,33
1209,Argileux (Madity),Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),très chaud,21
1210,Argileux (Madity),Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),très chaud,19
1211,Limoneux,Orange / Rouge,Pluvial,19,Nul,très chaud,19
1212,Limoneux,Noiratre (Rich),Pluvial,15,Nul,froid,24
1213,Argileux (Madity),Orange / Rouge,Pluvial,15,Fort (Zezika + NPK),tres froid,30
1214,Sableux,Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),froid,18
1215,Sableux,Noiratre (Rich),Pluvial,12,Nul,tres froid,10
1216,Sableux,Brun-Grisatre,Pluvial,14,Nul,tres froid,10
1217,Argileux (Madity),Orange / Rouge,Pluvial,8,Fort (Zezika + NPK),humide,48
1218,Argileux (Madity),Noiratre (Rich),Pluvial,11,Fort (Zezika + NPK),très chaud,39
1219,Sableux,Noiratre (Rich),Pluvial,7,Nul,très chaud,48
1220,Argileux (Madity),Brun-Grisatre,Pluvial,7,Moyen (Zezika Omby),humide,26
1221,Limoneux,Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),humide,33
1222,Sableux,Noiratre (Rich),Irrigue (Continu),11,Nul,humide,23
1223,Sableux,Brun-Grisatre,Pluvial,10,Moyen (Zezika Omby),chaud,30
1224,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),14,Nul,chaud,50
1225,Limoneux,Noiratre (Rich),Irrigue (Continu),10,Fort (Zezika + NPK),chaud,50
1226,Sableux,Orange / Rouge,Pluvial,6,Nul,très chaud,10
1227,Limoneux,Orange / Rouge,Irrigue (Continu),11,Nul,tres froid,13
1228,Limoneux,Orange / Rouge,Irrigue (Continu),16,Nul,humide,50
1229,Sableux,Brun-Grisatre,Irrigue (Continu),13,Fort (Zezika + NPK),humide,41
1230,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),19,Moyen (Zezika Omby),chaud,50
1231,Argileux (Madity),Brun-Grisatre,Pluvial,17,Nul,humide,31
1232,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),20,Nul,froid,26
1233,Sableux,Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),tres froid,10
1234,Limoneux,Noiratre (Rich),Pluvial,14,Nul,humide,26
1235,Argileux (Madity),Brun-Grisatre,Pluvial,17,Nul,très chaud,18
1236,Sableux,Noiratre (Rich),Irrigue (Continu),15,Moyen (Zezika Omby),chaud,45
1237,Sableux,Orange / Rouge,Pluvial,16,Moyen (Zezika Omby),chaud,38
1238,Limoneux,Brun-Grisatre,Irrigue (Continu),11,Nul,chaud,37
1239,Argileux (Madity),Noiratre (Rich),Pluvial,16,Nul,humide,30
1240,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),9,Nul,très chaud,35
1241,Sableux,Noiratre (Rich),Irrigue (Continu),10,Nul,froid,35
1242,Argileux (Madity),Noiratre (Rich),Pluvial,17,Fort (Zezika + NPK),humide,34
1243,Sableux,Orange / Rouge,Pluvial,12,Moyen (Zezika Omby),humide,22
1244,Sableux,Noiratre (Rich),Irrigue (Continu),18,Moyen (Zezika Omby),tres froid,21
1245,Argileux (Madity),Orange / Rouge,Pluvial,9,Moyen (Zezika Omby),froid,20
1246,Argileux (Madity),Orange / Rouge,Irrigue (Continu),18,Fort (Zezika + NPK),chaud,50
1247,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),12,Nul,froid,22
1248,Sableux,Brun-Grisatre,Irrigue (Continu),12,Fort (Zezika + NPK),chaud,47
1249,Sableux,Noiratre (Rich),Pluvial,6,Moyen (Zezika Omby),chaud,10
1250,Argileux (Madity),Orange / Rouge,Pluvial,15,Moyen (Zezika Omby),très chaud,28
